rank,self,accum,count,trace,method
1,9.73%,9.73%,3268,30036,sun.misc.Unsafe.getInt
2,4.54%,14.27%,1524,30087,java.lang.Double.doubleToRawLongBits
3,4.17%,18.44%,1400,30126,sun.java2d.pipe.AAShapePipe.renderTiles
4,3.71%,22.16%,1247,30122,java.util.Arrays.fill
5,3.56%,25.72%,1196,30126,java.util.Arrays.fill
6,2.57%,28.29%,863,30124,java.util.Arrays.fill
7,2.23%,30.52%,750,30125,java.util.Arrays.fill
8,2.14%,32.67%,719,30084,java.util.Arrays.copyOfRange
9,2.07%,34.74%,695,30127,sun.java2d.pisces.PiscesTileGenerator.nextTile
10,1.89%,36.63%,636,30126,sun.java2d.pipe.AAShapePipe.renderTiles
11,1.83%,38.46%,613,30140,java.util.zip.Deflater.deflateBytes
12,1.57%,40.03%,527,30126,java.lang.Math.min
13,1.47%,41.50%,494,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
14,1.41%,42.90%,472,30127,sun.java2d.pisces.PiscesCache.alphaSumInTile
15,1.24%,44.14%,417,30127,sun.java2d.pisces.PiscesCache.alphaSumInTile
16,0.97%,45.11%,324,30126,sun.java2d.pipe.AAShapePipe.renderTiles
17,0.88%,45.99%,295,30109,java.awt.geom.Path2D$Double.<init>
18,0.84%,46.83%,283,30061,java.util.Arrays.copyOfRange
19,0.80%,47.63%,269,30119,java.util.Arrays.copyOf
20,0.78%,48.41%,262,30129,java.lang.Math.min
21,0.60%,49.02%,203,30129,java.lang.Double.doubleToRawLongBits
22,0.58%,49.60%,195,30107,java.lang.System.arraycopy
23,0.57%,50.17%,193,30127,sun.java2d.pisces.PiscesCache.<init>
24,0.56%,50.74%,189,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
25,0.56%,51.30%,189,30141,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
26,0.56%,51.86%,188,30085,java.lang.Object.getClass
27,0.55%,52.41%,186,30107,java.lang.Float.floatToRawIntBits
28,0.54%,52.95%,180,30061,java.util.Arrays.copyOfRange
29,0.53%,53.48%,178,30140,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.clamp
30,0.51%,53.99%,172,30085,java.lang.Float.floatToRawIntBits
31,0.51%,54.50%,171,30061,org.apache.batik.util.DoublyIndexedTable.<init>
32,0.51%,55.01%,171,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
33,0.50%,55.51%,169,30140,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
34,0.48%,55.99%,161,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
35,0.48%,56.47%,160,30090,java.lang.String.intern
36,0.44%,56.91%,147,30129,sun.java2d.pisces.Renderer.<init>
37,0.43%,57.34%,144,30129,java.lang.Thread.currentThread
38,0.42%,57.76%,141,30089,java.util.Arrays.copyOfRange
39,0.41%,58.17%,138,30065,com.sun.org.apache.xerces.internal.util.XMLChar.isContent
40,0.41%,58.58%,138,30089,java.util.Arrays.copyOfRange
41,0.40%,58.97%,133,30085,java.lang.String.intern
42,0.38%,59.35%,126,30107,java.lang.StrictMath.cbrt
43,0.37%,59.72%,125,30139,java.awt.image.SinglePixelPackedSampleModel.getPixels
44,0.37%,60.09%,124,30139,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
45,0.36%,60.45%,120,30089,java.util.Arrays.copyOfRange
46,0.34%,60.79%,113,30085,java.lang.Thread.currentThread
47,0.33%,61.11%,110,30063,java.lang.Thread.currentThread
48,0.32%,61.43%,108,30127,sun.java2d.pisces.PiscesTileGenerator.getTypicalAlpha
49,0.32%,61.75%,107,30063,java.lang.System.arraycopy
50,0.31%,62.07%,105,30120,sun.java2d.pisces.Renderer$ScanlineIterator.next
51,0.31%,62.38%,105,30127,sun.java2d.pisces.Renderer.<init>
52,0.31%,62.69%,104,30128,java.lang.Thread.currentThread
53,0.30%,62.99%,101,30128,sun.java2d.pipe.AAShapePipe.renderTiles
54,0.29%,63.28%,98,30094,org.apache.batik.parser.AbstractParser.<init>
55,0.29%,63.57%,98,30132,sun.java2d.pipe.AAShapePipe.renderTiles
56,0.29%,63.86%,98,30139,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
57,0.29%,64.15%,97,30132,sun.misc.Unsafe.getObjectVolatile
58,0.29%,64.44%,96,30140,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
59,0.28%,64.72%,95,30107,java.lang.Object.clone
60,0.28%,65.01%,95,30119,sun.java2d.loops.MaskFill.MaskFill
61,0.28%,65.29%,95,30141,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
62,0.28%,65.57%,93,30085,java.util.Arrays.copyOfRange
63,0.28%,65.84%,93,30107,java.lang.Thread.currentThread
64,0.27%,66.12%,92,30122,sun.java2d.pisces.Renderer$ScanlineIterator.next
65,0.27%,66.39%,91,30120,java.util.Arrays.copyOf
66,0.27%,66.66%,91,30120,sun.java2d.pisces.Renderer$ScanlineIterator.next
67,0.27%,66.93%,90,30085,org.apache.batik.anim.dom.SVGOMAnimatedPathData$AnimSVGPathSegList.<init>
68,0.26%,67.19%,87,30139,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
69,0.26%,67.45%,87,30142,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
70,0.24%,67.68%,79,30062,java.util.Arrays.copyOfRange
71,0.24%,67.92%,79,30091,org.apache.batik.css.engine.CSSEngine.sortRules
72,0.23%,68.14%,76,30128,sun.java2d.pisces.PiscesTileGenerator.nextTile
73,0.23%,68.37%,76,30140,java.awt.image.SinglePixelPackedSampleModel.getPixels
74,0.21%,68.58%,72,30108,java.lang.StrictMath.acos
75,0.21%,68.79%,71,30083,org.apache.batik.css.engine.CSSEngine.sortRules
76,0.21%,69.01%,71,30097,org.apache.batik.css.parser.Scanner.<init>
77,0.21%,69.22%,71,30127,java.lang.Double.doubleToRawLongBits
78,0.21%,69.43%,71,30133,sun.java2d.pisces.PiscesTileGenerator.nextTile
79,0.21%,69.64%,70,30120,sun.java2d.pisces.Renderer$ScanlineIterator.curY
80,0.21%,69.85%,70,30132,sun.java2d.pisces.PiscesCache.alphaSumInTile
81,0.20%,70.05%,68,30087,org.apache.batik.css.engine.StyleDeclaration.<init>
82,0.20%,70.25%,68,30090,java.util.Arrays.copyOfRange
83,0.20%,70.45%,68,30090,java.util.Arrays.copyOfRange
84,0.20%,70.65%,67,30120,sun.java2d.pisces.Renderer$ScanlineIterator.next
85,0.20%,70.85%,66,30088,java.lang.String.contains
86,0.20%,71.05%,66,30089,org.apache.batik.css.parser.Scanner.<init>
87,0.19%,71.24%,65,30083,org.apache.batik.parser.AbstractParser.<init>
88,0.19%,71.43%,63,30071,org.apache.batik.dom.AbstractElement.getNodeType
89,0.19%,71.61%,63,30092,org.apache.batik.css.engine.StyleMap.<init>
90,0.19%,71.80%,63,30139,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
91,0.19%,71.99%,63,30139,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
92,0.18%,72.17%,61,30067,org.apache.batik.dom.AbstractElement$NamedNodeHashMap.rehash
93,0.18%,72.35%,61,30133,java.lang.Math.min
94,0.18%,72.53%,60,30132,sun.java2d.pipe.AAShapePipe.renderTiles
95,0.18%,72.71%,60,30139,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
96,0.18%,72.89%,59,30132,sun.java2d.pipe.AAShapePipe.renderTiles
97,0.17%,73.06%,57,30140,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
98,0.17%,73.22%,56,30066,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.scanLiteral
99,0.17%,73.39%,56,30086,java.util.Arrays.copyOfRange
100,0.16%,73.55%,54,30086,java.awt.geom.Path2D.<init>
101,0.16%,73.71%,53,30140,java.awt.image.SinglePixelPackedSampleModel.getPixels
102,0.15%,73.86%,50,30099,java.lang.String.intern
103,0.15%,74.00%,49,30065,java.util.Arrays.copyOfRange
104,0.15%,74.15%,49,30122,sun.java2d.pisces.Renderer$ScanlineIterator.next
105,0.14%,74.29%,48,30142,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
106,0.14%,74.43%,46,30143,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
107,0.13%,74.56%,45,30067,java.lang.String.intern
108,0.13%,74.70%,45,30088,org.apache.batik.gvt.CompositeGraphicsNode.ensureCapacity
109,0.13%,74.83%,45,30139,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
110,0.13%,74.97%,45,30142,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
111,0.13%,75.10%,45,30143,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
112,0.13%,75.23%,44,30121,sun.java2d.pisces.Renderer._endRendering
113,0.13%,75.36%,43,30135,sun.java2d.pisces.PiscesTileGenerator.getTypicalAlpha
114,0.13%,75.48%,42,30121,sun.java2d.pisces.Renderer$ScanlineIterator.next
115,0.12%,75.61%,41,30088,java.lang.System.arraycopy
116,0.12%,75.73%,41,30143,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
117,0.12%,75.85%,40,30066,com.sun.org.apache.xerces.internal.impl.io.UTF8Reader.read
118,0.12%,75.97%,40,30141,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
119,0.12%,76.08%,39,30066,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.skipSpaces
120,0.12%,76.20%,39,30129,sun.java2d.pisces.PiscesTileGenerator.nextTile
121,0.11%,76.31%,38,30086,org.apache.batik.dom.AbstractElement$NamedNodeHashMap.<init>
122,0.11%,76.42%,37,30066,java.util.Arrays.copyOfRange
123,0.11%,76.53%,37,30067,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.scanLiteral
124,0.11%,76.64%,37,30129,sun.java2d.pisces.PiscesCache.<init>
125,0.11%,76.75%,37,30140,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
126,0.11%,76.86%,36,30098,java.util.Arrays.copyOfRange
127,0.11%,76.97%,36,30136,java.lang.Object.hashCode
128,0.10%,77.07%,35,30087,java.lang.System.arraycopy
129,0.10%,77.18%,35,30136,sun.java2d.pipe.AAShapePipe.renderTiles
130,0.10%,77.28%,34,30122,java.util.Arrays.fill
131,0.10%,77.38%,33,30091,org.apache.batik.util.io.StringNormalizingReader.read
132,0.10%,77.47%,33,30096,org.apache.batik.ext.awt.geom.ExtendedGeneralPath.makeRoom
133,0.10%,77.57%,33,30121,sun.java2d.pisces.Renderer$ScanlineIterator.next
134,0.10%,77.67%,33,30130,sun.java2d.pisces.Renderer.<init>
135,0.10%,77.77%,33,30133,java.lang.Math.min
136,0.10%,77.87%,33,30138,org.apache.batik.ext.awt.image.GraphicsUtil.copyData_INT_PACK
137,0.10%,77.97%,33,30141,java.awt.image.DataBufferInt.getElem
138,0.10%,78.06%,32,30037,sun.misc.Unsafe.getInt
139,0.10%,78.16%,32,30067,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.scanLiteral
140,0.10%,78.25%,32,30133,sun.java2d.pisces.Renderer.<init>
141,0.09%,78.34%,31,30141,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
142,0.09%,78.43%,30,30138,sun.java2d.pisces.PiscesCache.alphaSumInTile
143,0.09%,78.52%,30,30140,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
144,0.09%,78.61%,29,30122,sun.java2d.pisces.Renderer._endRendering
145,0.09%,78.69%,29,30123,java.lang.Double.longBitsToDouble
146,0.08%,78.78%,28,30086,java.lang.AbstractStringBuilder.<init>
147,0.08%,78.86%,28,30142,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
148,0.08%,78.94%,27,30124,sun.java2d.pisces.Renderer$ScanlineIterator.next
149,0.08%,79.02%,27,30128,sun.java2d.pisces.Renderer$ScanlineIterator.next
150,0.08%,79.10%,27,30130,java.lang.Double.doubleToRawLongBits
151,0.08%,79.18%,27,30134,sun.java2d.pisces.PiscesTileGenerator.getTypicalAlpha
152,0.08%,79.26%,27,30136,sun.java2d.pipe.AAShapePipe.renderTiles
153,0.08%,79.34%,27,30147,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.scanLiteral
154,0.08%,79.42%,26,30094,java.awt.geom.Path2D$Float.append
155,0.08%,79.50%,26,30129,sun.java2d.pisces.Renderer$ScanlineIterator.next
156,0.08%,79.58%,26,30142,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
157,0.07%,79.65%,25,30039,sun.misc.Unsafe.getInt
158,0.07%,79.73%,25,30040,sun.misc.Unsafe.getInt
159,0.07%,79.80%,25,30091,java.util.ArrayList.add
160,0.07%,79.87%,25,30109,java.lang.Float.floatToRawIntBits
161,0.07%,79.95%,25,30137,sun.java2d.pisces.Stroker.<init>
162,0.07%,80.02%,24,30097,java.lang.System.arraycopy
163,0.07%,80.09%,24,30123,sun.java2d.pisces.Renderer.emitRow
164,0.07%,80.16%,24,30137,sun.java2d.loops.GraphicsPrimitiveMgr$2.compare
165,0.07%,80.23%,24,30139,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
166,0.07%,80.30%,23,30036,sun.misc.Unsafe.getInt
167,0.07%,80.37%,23,30037,sun.misc.Unsafe.getInt
168,0.07%,80.44%,23,30091,java.lang.String.indexOf
169,0.07%,80.51%,23,30091,java.lang.String.charAt
170,0.07%,80.58%,23,30121,sun.java2d.pisces.Renderer$ScanlineIterator.next
171,0.07%,80.65%,23,30125,sun.java2d.pisces.Renderer.<init>
172,0.07%,80.71%,23,30138,java.lang.Thread.currentThread
173,0.07%,80.78%,22,30061,com.sun.org.apache.xerces.internal.util.XMLChar.isSpace
174,0.07%,80.85%,22,30085,sun.misc.FloatingDecimal.readJavaFormatString
175,0.07%,80.91%,22,30120,sun.java2d.pisces.Renderer._endRendering
176,0.07%,80.98%,22,30135,sun.java2d.pisces.Renderer._endRendering
177,0.07%,81.04%,22,30141,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
178,0.07%,81.11%,22,30143,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
179,0.06%,81.17%,21,30008,java.util.Arrays.copyOf
180,0.06%,81.23%,21,30037,sun.misc.Unsafe.getInt
181,0.06%,81.30%,21,30088,org.apache.batik.css.engine.StyleMap.<init>
182,0.06%,81.36%,21,30088,org.apache.batik.parser.AbstractParser.<init>
183,0.06%,81.42%,21,30143,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
184,0.06%,81.48%,21,30159,java.lang.StrictMath.acos
185,0.06%,81.54%,20,30037,sun.misc.Unsafe.getInt
186,0.06%,81.60%,20,30040,sun.misc.Unsafe.getInt
187,0.06%,81.66%,20,30107,java.lang.Float.floatToRawIntBits
188,0.06%,81.72%,20,30108,sun.java2d.pisces.Stroker.<init>
189,0.06%,81.78%,20,30140,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.clamp
190,0.06%,81.84%,20,30178,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
191,0.06%,81.90%,19,30037,sun.misc.Unsafe.getInt
192,0.06%,81.95%,19,30092,org.apache.batik.gvt.CompositeGraphicsNode.ensureCapacity
193,0.06%,82.01%,19,30109,java.util.Arrays.copyOf
194,0.06%,82.07%,19,30123,sun.java2d.pisces.PiscesTileGenerator.getAlpha
195,0.06%,82.12%,19,30123,sun.java2d.pisces.PiscesTileGenerator.getAlpha
196,0.06%,82.18%,19,30124,sun.java2d.pisces.Renderer._endRendering
197,0.05%,82.23%,18,30037,sun.misc.Unsafe.getInt
198,0.05%,82.29%,18,30060,java.lang.AbstractStringBuilder.<init>
199,0.05%,82.34%,18,30068,com.sun.org.apache.xerces.internal.util.XMLChar.isContent
200,0.05%,82.39%,18,30071,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.checkBeforeLoad
201,0.05%,82.45%,18,30100,org.apache.batik.css.parser.Scanner.nextToken
202,0.05%,82.50%,18,30121,java.util.Arrays.fill
203,0.05%,82.55%,18,30126,sun.java2d.pisces.Renderer.<init>
204,0.05%,82.61%,18,30133,java.lang.Thread.currentThread
205,0.05%,82.66%,18,30134,sun.java2d.pisces.Renderer._endRendering
206,0.05%,82.72%,18,30134,sun.misc.Unsafe.getObjectVolatile
207,0.05%,82.77%,18,30155,org.apache.batik.gvt.CompositeShapePainter.addShapePainter
208,0.05%,82.82%,18,30173,sun.java2d.pisces.Renderer._endRendering
209,0.05%,82.87%,17,30039,sun.misc.Unsafe.getInt
210,0.05%,82.92%,17,30043,sun.misc.Unsafe.getInt
211,0.05%,82.97%,17,30062,org.apache.batik.util.DoublyIndexedTable.hashCode
212,0.05%,83.03%,17,30067,com.sun.org.apache.xerces.internal.util.XMLChar.isSpace
213,0.05%,83.08%,17,30093,org.apache.batik.ext.awt.geom.ExtendedGeneralPath.makeRoom
214,0.05%,83.13%,17,30119,sun.java2d.pisces.PiscesTileGenerator.getAlpha
215,0.05%,83.18%,17,30128,java.lang.Object.hashCode
216,0.05%,83.23%,17,30143,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
217,0.05%,83.28%,17,30156,org.apache.batik.util.io.StringNormalizingReader.read
218,0.05%,83.33%,17,30173,sun.java2d.pisces.PiscesTileGenerator.nextTile
219,0.05%,83.38%,17,30198,sun.java2d.pisces.Renderer$ScanlineIterator.hasNext
220,0.05%,83.43%,16,30043,sun.misc.Unsafe.getInt
221,0.05%,83.48%,16,30062,com.sun.org.apache.xerces.internal.util.XMLChar.isContent
222,0.05%,83.52%,16,30063,com.sun.org.apache.xerces.internal.impl.io.UTF8Reader.read
223,0.05%,83.57%,16,30068,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.scanLiteral
224,0.05%,83.62%,16,30086,java.lang.String.charAt
225,0.05%,83.67%,16,30087,org.apache.batik.css.engine.CSSEngine.getCSSParentNode
226,0.05%,83.71%,16,30093,java.util.ArrayList.<init>
227,0.05%,83.76%,16,30103,sun.misc.FloatingDecimal.readJavaFormatString
228,0.05%,83.81%,16,30109,java.awt.geom.Path2D$Float.getBounds2D
229,0.05%,83.86%,16,30120,sun.java2d.pisces.Renderer$ScanlineIterator.next
230,0.05%,83.90%,16,30171,sun.java2d.pisces.Renderer$ScanlineIterator.next
231,0.05%,83.95%,16,30171,java.lang.Math.min
232,0.05%,84.00%,16,30173,sun.java2d.pisces.PiscesCache.alphaSumInTile
233,0.04%,84.04%,15,30043,sun.misc.Unsafe.getInt
234,0.04%,84.09%,15,30061,java.lang.String.intern
235,0.04%,84.13%,15,30061,com.sun.org.apache.xerces.internal.util.NamespaceSupport.getURI
236,0.04%,84.18%,15,30064,java.lang.String.intern
237,0.04%,84.22%,15,30095,org.apache.batik.gvt.AbstractGraphicsNode.invalidateGeometryCache
238,0.04%,84.27%,15,30120,sun.java2d.pisces.Renderer$ScanlineIterator.hasNext
239,0.04%,84.31%,15,30121,java.lang.Math.min
240,0.04%,84.36%,15,30123,sun.java2d.pisces.Renderer._endRendering
241,0.04%,84.40%,15,30128,java.lang.Math.min
242,0.04%,84.45%,15,30135,sun.java2d.pipe.RenderingEngine.feedConsumer
243,0.04%,84.49%,15,30135,sun.java2d.pisces.Renderer._endRendering
244,0.04%,84.54%,15,30179,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
245,0.04%,84.58%,14,30063,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.skipSpaces
246,0.04%,84.62%,14,30085,java.lang.Float.floatToRawIntBits
247,0.04%,84.66%,14,30085,java.lang.Float.floatToRawIntBits
248,0.04%,84.70%,14,30096,org.apache.batik.util.io.StringNormalizingReader.read
249,0.04%,84.74%,14,30101,org.apache.batik.css.engine.CSSEngine.getParentCSSStylableElement
250,0.04%,84.79%,14,30108,java.util.Arrays.copyOf
251,0.04%,84.83%,14,30119,sun.java2d.pisces.PiscesTileGenerator.getAlpha
252,0.04%,84.87%,14,30124,java.lang.Math.max
253,0.04%,84.91%,14,30129,sun.java2d.pisces.Renderer$ScanlineIterator.access$500
254,0.04%,84.95%,14,30145,java.lang.System.arraycopy
255,0.04%,84.99%,14,30170,java.awt.geom.Path2D.<init>
256,0.04%,85.04%,14,30172,sun.java2d.pisces.Renderer$ScanlineIterator.next
257,0.04%,85.07%,13,30073,com.sun.org.apache.xerces.internal.impl.io.UTF8Reader.read
258,0.04%,85.11%,13,30085,org.apache.batik.ext.awt.geom.ExtendedGeneralPath.makeRoom
259,0.04%,85.15%,13,30097,java.lang.String.contains
260,0.04%,85.19%,13,30122,sun.java2d.pisces.Renderer._endRendering
261,0.04%,85.23%,13,30123,sun.java2d.pisces.Renderer.access$000
262,0.04%,85.27%,13,30127,sun.java2d.pisces.Renderer._endRendering
263,0.04%,85.31%,13,30135,java.lang.Double.doubleToRawLongBits
264,0.04%,85.35%,13,30141,java.awt.image.DataBufferInt.getElem
265,0.04%,85.38%,13,30141,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
266,0.04%,85.42%,13,30174,sun.java2d.pisces.Renderer$ScanlineIterator.next
267,0.04%,85.46%,13,30174,sun.java2d.pipe.AAShapePipe.renderTiles
268,0.04%,85.50%,12,30036,sun.misc.Unsafe.getInt
269,0.04%,85.53%,12,30064,org.apache.batik.dom.AbstractElement$NamedNodeHashMap.<init>
270,0.04%,85.57%,12,30068,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.skipSpaces
271,0.04%,85.60%,12,30082,org.apache.batik.css.engine.CSSEngine.findStyleSheetNodes
272,0.04%,85.64%,12,30086,java.util.Arrays.copyOfRange
273,0.04%,85.68%,12,30099,org.apache.batik.css.parser.Scanner.nextChar
274,0.04%,85.71%,12,30124,sun.java2d.pisces.Renderer$ScanlineIterator.next
275,0.04%,85.75%,12,30124,java.lang.Math.max
276,0.04%,85.78%,12,30125,sun.java2d.pisces.Renderer$ScanlineIterator.next
277,0.04%,85.82%,12,30126,sun.java2d.pisces.Renderer$ScanlineIterator.next
278,0.04%,85.86%,12,30133,sun.java2d.pisces.PiscesCache.<init>
279,0.04%,85.89%,12,30179,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
280,0.04%,85.93%,12,30180,java.util.AbstractList.<init>
281,0.03%,85.96%,11,30061,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.skipSpaces
282,0.03%,85.99%,11,30095,org.apache.batik.util.io.StringNormalizingReader.read
283,0.03%,86.02%,11,30095,org.apache.batik.util.io.StringNormalizingReader.read
284,0.03%,86.06%,11,30101,java.lang.AbstractStringBuilder.<init>
285,0.03%,86.09%,11,30101,org.apache.batik.gvt.CompositeGraphicsNode.invalidateGeometryCache
286,0.03%,86.12%,11,30108,sun.java2d.pisces.Stroker$PolyStack.pop
287,0.03%,86.16%,11,30121,sun.java2d.pisces.Renderer._endRendering
288,0.03%,86.19%,11,30122,sun.java2d.pisces.PiscesCache.addRLERun
289,0.03%,86.22%,11,30135,java.awt.geom.RectIterator.<init>
290,0.03%,86.25%,11,30138,java.awt.geom.Path2D$Double.<init>
291,0.03%,86.29%,11,30142,java.awt.image.SinglePixelPackedSampleModel.getPixels
292,0.03%,86.32%,11,30142,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
293,0.03%,86.35%,11,30152,java.util.Arrays.copyOfRange
294,0.03%,86.39%,11,30178,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.encodePass
295,0.03%,86.42%,11,30188,java.util.ArrayList.ensureExplicitCapacity
296,0.03%,86.45%,11,30218,java.awt.geom.Path2D$Float.lineTo
297,0.03%,86.48%,10,30083,org.apache.batik.anim.dom.SVGOMAnimatedPathData.check
298,0.03%,86.51%,10,30086,org.apache.batik.css.engine.StyleMap.getValue
299,0.03%,86.54%,10,30088,java.lang.Object.getClass
300,0.03%,86.57%,10,30108,java.lang.Float.intBitsToFloat
301,0.03%,86.60%,10,30120,sun.java2d.pisces.Renderer._endRendering
302,0.03%,86.63%,10,30127,sun.java2d.pisces.Renderer._endRendering
303,0.03%,86.66%,10,30132,sun.java2d.pisces.Renderer$ScanlineIterator.next
304,0.03%,86.69%,10,30134,sun.java2d.pisces.Renderer$ScanlineIterator.next
305,0.03%,86.72%,10,30136,sun.java2d.pipe.AAShapePipe.renderTiles
306,0.03%,86.75%,10,30139,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
307,0.03%,86.78%,10,30141,org.apache.batik.ext.awt.image.codec.png.CRC.updateCRC
308,0.03%,86.81%,10,30144,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
309,0.03%,86.84%,10,30145,com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl.scanAttribute
310,0.03%,86.87%,10,30170,java.util.Arrays.copyOf
311,0.03%,86.90%,10,30172,sun.java2d.pisces.PiscesTileGenerator.getAlpha
312,0.03%,86.93%,10,30181,com.sun.org.apache.xerces.internal.util.XMLChar.isContent
313,0.03%,86.96%,10,30183,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.skipSpaces
314,0.03%,86.99%,10,30203,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
315,0.03%,87.01%,9,30064,com.sun.org.apache.xerces.internal.util.XMLAttributesImpl.addAttributeNS
316,0.03%,87.04%,9,30065,org.apache.batik.dom.AbstractDocument.getEventsEnabled
317,0.03%,87.07%,9,30087,org.apache.batik.css.parser.ScannerUtilities.isCSSNameCharacter
318,0.03%,87.09%,9,30108,sun.java2d.pipe.RenderingEngine.feedConsumer
319,0.03%,87.12%,9,30144,org.apache.batik.css.engine.CSSEngine.getCSSNextSibling
320,0.03%,87.15%,9,30151,com.sun.org.apache.xerces.internal.impl.XMLEntityScanner.skipSpaces
321,0.03%,87.17%,9,30156,org.apache.batik.css.parser.CSSLexicalUnit.getLexicalUnitType
322,0.03%,87.20%,9,30163,org.apache.batik.css.parser.CSSLexicalUnit.getLexicalUnitType
323,0.03%,87.23%,9,30167,org.apache.batik.css.engine.CSSEngine$StyleDeclarationDocumentHandler.property
324,0.03%,87.26%,9,30174,sun.java2d.pisces.PiscesTileGenerator.getTypicalAlpha
